2019-05-18T03:05:51.370444: step 1, loss 1.1063, acc 0.5
2019-05-18T03:05:51.787421: step 50, loss 0.198212, acc 1
2019-05-18T03:05:51.803424: step 51, loss 0.185775, acc 1
2019-05-18T03:05:51.815423: step 52, loss 0.177083, acc 1
2019-05-18T03:05:51.823420: step 53, loss 0.192421, acc 1
2019-05-18T03:05:51.832419: step 54, loss 0.198171, acc 1
2019-05-18T03:05:51.840422: step 55, loss 0.191154, acc 1
2019-05-18T03:05:51.847420: step 56, loss 0.178182, acc 1
2019-05-18T03:05:51.856419: step 57, loss 0.193638, acc 1
2019-05-18T03:05:51.867427: step 58, loss 0.181188, acc 1
2019-05-18T03:05:51.875418: step 59, loss 0.181386, acc 1
2019-05-18T03:05:51.885419: step 60, loss 0.192484, acc 1
2019-05-18T03:05:51.894418: step 61, loss 0.181915, acc 1
2019-05-18T03:05:51.901418: step 62, loss 0.177689, acc 1
2019-05-18T03:05:51.908417: step 63, loss 0.188455, acc 1
2019-05-18T03:05:51.915417: step 64, loss 0.166634, acc 1
2019-05-18T03:05:51.922417: step 65, loss 0.166085, acc 1
2019-05-18T03:05:51.929416: step 66, loss 0.175165, acc 1
2019-05-18T03:05:51.936416: step 67, loss 0.166502, acc 1
2019-05-18T03:05:51.944416: step 68, loss 0.165094, acc 1
2019-05-18T03:05:51.951415: step 69, loss 0.172679, acc 1
2019-05-18T03:05:51.957416: step 70, loss 0.167268, acc 1
2019-05-18T03:05:51.964415: step 71, loss 0.166623, acc 1
2019-05-18T03:05:51.972415: step 72, loss 0.166918, acc 1
2019-05-18T03:05:51.979415: step 73, loss 0.163926, acc 1
2019-05-18T03:05:51.986415: step 74, loss 0.164447, acc 1
2019-05-18T03:05:51.995415: step 75, loss 0.156635, acc 1
2019-05-18T03:05:52.002415: step 76, loss 0.163201, acc 1
2019-05-18T03:05:52.011414: step 77, loss 0.158872, acc 1
2019-05-18T03:05:52.019415: step 78, loss 0.16107, acc 1
2019-05-18T03:05:52.027414: step 79, loss 0.156889, acc 1
2019-05-18T03:05:52.036413: step 80, loss 0.16782, acc 1
2019-05-18T03:05:52.045413: step 81, loss 0.148628, acc 1
2019-05-18T03:05:52.052413: step 82, loss 0.166236, acc 1
2019-05-18T03:05:52.061412: step 83, loss 0.150656, acc 1
2019-05-18T03:05:52.069412: step 84, loss 0.150427, acc 1
2019-05-18T03:05:52.077413: step 85, loss 0.16249, acc 1
2019-05-18T03:05:52.085412: step 86, loss 0.157893, acc 1
2019-05-18T03:05:52.093412: step 87, loss 0.14934, acc 1
2019-05-18T03:05:52.100411: step 88, loss 0.144896, acc 1
2019-05-18T03:05:52.107411: step 89, loss 0.146392, acc 1
2019-05-18T03:05:52.115411: step 90, loss 0.143322, acc 1
2019-05-18T03:05:52.121411: step 91, loss 0.142952, acc 1
2019-05-18T03:05:52.129410: step 92, loss 0.147842, acc 1
2019-05-18T03:05:52.136410: step 93, loss 0.138604, acc 1
2019-05-18T03:05:52.144411: step 94, loss 0.14248, acc 1
2019-05-18T03:05:52.151410: step 95, loss 0.14272, acc 1
2019-05-18T03:05:52.158410: step 96, loss 0.143696, acc 1
2019-05-18T03:05:52.166409: step 97, loss 0.138205, acc 1
2019-05-18T03:05:52.174410: step 98, loss 0.129794, acc 1
2019-05-18T03:05:52.181409: step 99, loss 0.140977, acc 1
2019-05-18T03:05:52.189409: step 100, loss 0.139365, acc 1

Evaluation:
2019-05-18T03:05:52.221408: step 100, loss 0.139853, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-100

2019-05-18T03:05:52.529399: step 101, loss 0.128059, acc 1
2019-05-18T03:05:52.539397: step 102, loss 0.12949, acc 1
2019-05-18T03:05:52.551397: step 103, loss 0.128795, acc 1
2019-05-18T03:05:52.561397: step 104, loss 0.138629, acc 1
2019-05-18T03:05:52.572396: step 105, loss 0.125172, acc 1
2019-05-18T03:05:52.583398: step 106, loss 0.128468, acc 1
2019-05-18T03:05:52.593396: step 107, loss 0.136436, acc 1
2019-05-18T03:05:52.604396: step 108, loss 0.13235, acc 1
2019-05-18T03:05:52.615395: step 109, loss 0.12907, acc 1
2019-05-18T03:05:52.625395: step 110, loss 0.130026, acc 1
2019-05-18T03:05:52.637395: step 111, loss 0.121611, acc 1
2019-05-18T03:05:52.647394: step 112, loss 0.12224, acc 1
2019-05-18T03:05:52.659394: step 113, loss 0.120119, acc 1
2019-05-18T03:05:52.669394: step 114, loss 0.124567, acc 1
2019-05-18T03:05:52.680394: step 115, loss 0.114373, acc 1
2019-05-18T03:05:52.691393: step 116, loss 0.128004, acc 1
2019-05-18T03:05:52.702393: step 117, loss 0.124766, acc 1
2019-05-18T03:05:52.714392: step 118, loss 0.11865, acc 1
2019-05-18T03:05:52.730392: step 119, loss 0.116383, acc 1
2019-05-18T03:05:52.747391: step 120, loss 0.113973, acc 1
2019-05-18T03:05:52.763392: step 121, loss 0.115817, acc 1
2019-05-18T03:05:52.776391: step 122, loss 0.121602, acc 1
2019-05-18T03:05:52.787392: step 123, loss 0.112606, acc 1
2019-05-18T03:05:52.803390: step 124, loss 0.108284, acc 1
2019-05-18T03:05:52.816389: step 125, loss 0.11334, acc 1
2019-05-18T03:05:52.828389: step 126, loss 0.12543, acc 1
2019-05-18T03:05:52.840388: step 127, loss 0.110573, acc 1
2019-05-18T03:05:52.851389: step 128, loss 0.113747, acc 1
2019-05-18T03:05:52.862387: step 129, loss 0.12206, acc 1
2019-05-18T03:05:52.873387: step 130, loss 0.109974, acc 1
2019-05-18T03:05:52.885387: step 131, loss 0.108585, acc 1
2019-05-18T03:05:52.901387: step 132, loss 0.110296, acc 1
2019-05-18T03:05:52.915386: step 133, loss 0.0968232, acc 1
2019-05-18T03:05:52.926386: step 134, loss 0.109861, acc 1
2019-05-18T03:05:52.942387: step 135, loss 0.104505, acc 1
2019-05-18T03:05:52.956385: step 136, loss 0.0993753, acc 1
2019-05-18T03:05:52.969385: step 137, loss 0.108356, acc 1
2019-05-18T03:05:52.986384: step 138, loss 0.105656, acc 1
2019-05-18T03:05:53.003383: step 139, loss 0.0935693, acc 1
2019-05-18T03:05:53.019383: step 140, loss 0.103073, acc 1
2019-05-18T03:05:53.034383: step 141, loss 0.101352, acc 1
2019-05-18T03:05:53.051382: step 142, loss 0.10844, acc 1
2019-05-18T03:05:53.060382: step 143, loss 0.0998556, acc 1
2019-05-18T03:05:53.069382: step 144, loss 0.0968479, acc 1
2019-05-18T03:05:53.078381: step 145, loss 0.096116, acc 1
2019-05-18T03:05:53.086384: step 146, loss 0.0901906, acc 1
2019-05-18T03:05:53.094391: step 147, loss 0.0996283, acc 1
2019-05-18T03:05:53.101387: step 148, loss 0.0878722, acc 1
2019-05-18T03:05:53.108685: step 149, loss 0.094701, acc 1
2019-05-18T03:05:53.115685: step 150, loss 0.0895799, acc 1
2019-05-18T03:05:53.122685: step 151, loss 0.0866473, acc 1
2019-05-18T03:05:53.129685: step 152, loss 0.0913921, acc 1
2019-05-18T03:05:53.136684: step 153, loss 0.0986053, acc 1
2019-05-18T03:05:53.143684: step 154, loss 0.101872, acc 1
2019-05-18T03:05:53.150684: step 155, loss 0.0930653, acc 1
2019-05-18T03:05:53.160683: step 156, loss 0.0904462, acc 1
2019-05-18T03:05:53.169684: step 157, loss 0.0931878, acc 1
2019-05-18T03:05:53.179683: step 158, loss 0.082466, acc 1
2019-05-18T03:05:53.188687: step 159, loss 0.0960934, acc 1
2019-05-18T03:05:53.197682: step 160, loss 0.0867022, acc 1
2019-05-18T03:05:53.210682: step 161, loss 0.0839878, acc 1
2019-05-18T03:05:53.219681: step 162, loss 0.0787058, acc 1
2019-05-18T03:05:53.229681: step 163, loss 0.0883937, acc 1
2019-05-18T03:05:53.237684: step 164, loss 0.0805077, acc 1
2019-05-18T03:05:53.245681: step 165, loss 0.0808003, acc 1
2019-05-18T03:05:53.258680: step 166, loss 0.0928093, acc 1
2019-05-18T03:05:53.269680: step 167, loss 0.0803574, acc 1
2019-05-18T03:05:53.277680: step 168, loss 0.0784781, acc 1
2019-05-18T03:05:53.286680: step 169, loss 0.0797179, acc 1
2019-05-18T03:05:53.293679: step 170, loss 0.0846956, acc 1
2019-05-18T03:05:53.301679: step 171, loss 0.0811684, acc 1
2019-05-18T03:05:53.309680: step 172, loss 0.0802883, acc 1
2019-05-18T03:05:53.317679: step 173, loss 0.0749233, acc 1
2019-05-18T03:05:53.325678: step 174, loss 0.0777407, acc 1
2019-05-18T03:05:53.333678: step 175, loss 0.0714213, acc 1
2019-05-18T03:05:53.342678: step 176, loss 0.0837489, acc 1
2019-05-18T03:05:53.350678: step 177, loss 0.0712776, acc 1
2019-05-18T03:05:53.364677: step 178, loss 0.0885949, acc 1
2019-05-18T03:05:53.377678: step 179, loss 0.075223, acc 1
2019-05-18T03:05:53.390677: step 180, loss 0.0798888, acc 1
2019-05-18T03:05:53.399679: step 181, loss 0.0717844, acc 1
2019-05-18T03:05:53.411678: step 182, loss 0.0694017, acc 1
2019-05-18T03:05:53.421676: step 183, loss 0.0684743, acc 1
2019-05-18T03:05:53.431675: step 184, loss 0.0853992, acc 1
2019-05-18T03:05:53.445674: step 185, loss 0.0713376, acc 1
2019-05-18T03:05:53.459674: step 186, loss 0.0697236, acc 1
2019-05-18T03:05:53.468674: step 187, loss 0.0739313, acc 1
2019-05-18T03:05:53.477674: step 188, loss 0.0640637, acc 1
2019-05-18T03:05:53.485674: step 189, loss 0.0678013, acc 1
2019-05-18T03:05:53.494673: step 190, loss 0.0697492, acc 1
2019-05-18T03:05:53.502672: step 191, loss 0.0685078, acc 1
2019-05-18T03:05:53.509734: step 192, loss 0.0696394, acc 1
2019-05-18T03:05:53.518735: step 193, loss 0.0658694, acc 1
2019-05-18T03:05:53.526733: step 194, loss 0.0720971, acc 1
2019-05-18T03:05:53.535733: step 195, loss 0.0751556, acc 1
2019-05-18T03:05:53.542734: step 196, loss 0.0641099, acc 1
2019-05-18T03:05:53.550506: step 197, loss 0.062896, acc 1
2019-05-18T03:05:53.559507: step 198, loss 0.0669616, acc 1
2019-05-18T03:05:53.568506: step 199, loss 0.0715192, acc 1
2019-05-18T03:05:53.579506: step 200, loss 0.0658393, acc 1

Evaluation:
2019-05-18T03:05:53.626010: step 200, loss 0.0525923, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-200

2019-05-18T03:05:53.818302: step 201, loss 0.0673845, acc 1
2019-05-18T03:05:53.827297: step 202, loss 0.0621449, acc 1
2019-05-18T03:05:53.835297: step 203, loss 0.0605796, acc 1
2019-05-18T03:05:53.843297: step 204, loss 0.0553932, acc 1
2019-05-18T03:05:53.850301: step 205, loss 0.0668639, acc 1
2019-05-18T03:05:53.858301: step 206, loss 0.0660733, acc 1
2019-05-18T03:05:53.865287: step 207, loss 0.0625619, acc 1
2019-05-18T03:05:53.872286: step 208, loss 0.0615097, acc 1
2019-05-18T03:05:53.880286: step 209, loss 0.0649545, acc 1
2019-05-18T03:05:53.886286: step 210, loss 0.0659582, acc 1
2019-05-18T03:05:53.894286: step 211, loss 0.0657078, acc 1
2019-05-18T03:05:53.901286: step 212, loss 0.057327, acc 1
2019-05-18T03:05:53.910286: step 213, loss 0.0584273, acc 1
2019-05-18T03:05:53.917286: step 214, loss 0.0612238, acc 1
2019-05-18T03:05:53.925286: step 215, loss 0.0549956, acc 1
2019-05-18T03:05:53.933285: step 216, loss 0.0537202, acc 1
2019-05-18T03:05:53.941285: step 217, loss 0.0627466, acc 1
2019-05-18T03:05:53.949284: step 218, loss 0.0572327, acc 1
2019-05-18T03:05:53.956284: step 219, loss 0.0608126, acc 1
2019-05-18T03:05:53.964283: step 220, loss 0.0534098, acc 1
2019-05-18T03:05:53.971283: step 221, loss 0.0492759, acc 1
2019-05-18T03:05:53.978283: step 222, loss 0.0581236, acc 1
2019-05-18T03:05:53.986283: step 223, loss 0.0677023, acc 1
2019-05-18T03:05:53.992282: step 224, loss 0.0526927, acc 1
2019-05-18T03:05:54.000282: step 225, loss 0.0531047, acc 1
2019-05-18T03:05:54.007282: step 226, loss 0.0585892, acc 1
2019-05-18T03:05:54.015282: step 227, loss 0.0541465, acc 1
2019-05-18T03:05:54.025283: step 228, loss 0.0647022, acc 1
2019-05-18T03:05:54.032287: step 229, loss 0.0492787, acc 1
2019-05-18T03:05:54.040281: step 230, loss 0.0490873, acc 1
2019-05-18T03:05:54.050281: step 231, loss 0.0547858, acc 1
2019-05-18T03:05:54.058281: step 232, loss 0.0509949, acc 1
2019-05-18T03:05:54.066281: step 233, loss 0.055574, acc 1
2019-05-18T03:05:54.073281: step 234, loss 0.058906, acc 1
2019-05-18T03:05:54.081281: step 235, loss 0.0475591, acc 1
2019-05-18T03:05:54.088280: step 236, loss 0.0507954, acc 1
2019-05-18T03:05:54.097279: step 237, loss 0.0497308, acc 1
2019-05-18T03:05:54.104280: step 238, loss 0.0474838, acc 1
2019-05-18T03:05:54.112280: step 239, loss 0.0560801, acc 1
2019-05-18T03:05:54.120278: step 240, loss 0.051396, acc 1
2019-05-18T03:05:54.128279: step 241, loss 0.048269, acc 1
2019-05-18T03:05:54.134278: step 242, loss 0.0459361, acc 1
2019-05-18T03:05:54.141279: step 243, loss 0.0531628, acc 1
2019-05-18T03:05:54.149278: step 244, loss 0.0462033, acc 1
2019-05-18T03:05:54.156278: step 245, loss 0.0524281, acc 1
2019-05-18T03:05:54.163278: step 246, loss 0.0435415, acc 1
2019-05-18T03:05:54.171277: step 247, loss 0.046921, acc 1
2019-05-18T03:05:54.178277: step 248, loss 0.0473967, acc 1
2019-05-18T03:05:54.186277: step 249, loss 0.0474971, acc 1
2019-05-18T03:05:54.193276: step 250, loss 0.0512377, acc 1
2019-05-18T03:05:54.201276: step 251, loss 0.0457984, acc 1
2019-05-18T03:05:54.208276: step 252, loss 0.0484946, acc 1
2019-05-18T03:05:54.215276: step 253, loss 0.044423, acc 1
2019-05-18T03:05:54.224277: step 254, loss 0.0426291, acc 1
2019-05-18T03:05:54.231275: step 255, loss 0.0426392, acc 1
2019-05-18T03:05:54.239275: step 256, loss 0.0429244, acc 1
2019-05-18T03:05:54.247275: step 257, loss 0.048455, acc 1
2019-05-18T03:05:54.255275: step 258, loss 0.0451807, acc 1
2019-05-18T03:05:54.264275: step 259, loss 0.0453612, acc 1
2019-05-18T03:05:54.271253: step 260, loss 0.0491818, acc 1
2019-05-18T03:05:54.279252: step 261, loss 0.0431951, acc 1
2019-05-18T03:05:54.288252: step 262, loss 0.0476459, acc 1
2019-05-18T03:05:54.297253: step 263, loss 0.046883, acc 1
2019-05-18T03:05:54.304252: step 264, loss 0.043433, acc 1
2019-05-18T03:05:54.314251: step 265, loss 0.0412002, acc 1
2019-05-18T03:05:54.322251: step 266, loss 0.0433005, acc 1
2019-05-18T03:05:54.330250: step 267, loss 0.0388199, acc 1
2019-05-18T03:05:54.337250: step 268, loss 0.0483593, acc 1
2019-05-18T03:05:54.344250: step 269, loss 0.0400507, acc 1
2019-05-18T03:05:54.352250: step 270, loss 0.0420685, acc 1
2019-05-18T03:05:54.359250: step 271, loss 0.0430599, acc 1
2019-05-18T03:05:54.366399: step 272, loss 0.0422468, acc 1
2019-05-18T03:05:54.374400: step 273, loss 0.0443942, acc 1
2019-05-18T03:05:54.381400: step 274, loss 0.0385554, acc 1
2019-05-18T03:05:54.389399: step 275, loss 0.0420951, acc 1
2019-05-18T03:05:54.396399: step 276, loss 0.0379521, acc 1
2019-05-18T03:05:54.403399: step 277, loss 0.0415873, acc 1
2019-05-18T03:05:54.410398: step 278, loss 0.0360821, acc 1
2019-05-18T03:05:54.418398: step 279, loss 0.041754, acc 1
2019-05-18T03:05:54.426398: step 280, loss 0.0431219, acc 1
2019-05-18T03:05:54.434398: step 281, loss 0.0382574, acc 1
2019-05-18T03:05:54.441397: step 282, loss 0.0376626, acc 1
2019-05-18T03:05:54.450397: step 283, loss 0.0414276, acc 1
2019-05-18T03:05:54.460396: step 284, loss 0.0337437, acc 1
2019-05-18T03:05:54.468397: step 285, loss 0.0389163, acc 1
2019-05-18T03:05:54.475396: step 286, loss 0.0396884, acc 1
2019-05-18T03:05:54.484396: step 287, loss 0.0362609, acc 1
2019-05-18T03:05:54.491396: step 288, loss 0.0367703, acc 1
2019-05-18T03:05:54.498395: step 289, loss 0.041665, acc 1
2019-05-18T03:05:54.505395: step 290, loss 0.0361569, acc 1
2019-05-18T03:05:54.512395: step 291, loss 0.0431526, acc 1
2019-05-18T03:05:54.520395: step 292, loss 0.0351061, acc 1
2019-05-18T03:05:54.527394: step 293, loss 0.039049, acc 1
2019-05-18T03:05:54.534394: step 294, loss 0.0329956, acc 1
2019-05-18T03:05:54.541394: step 295, loss 0.0373296, acc 1
2019-05-18T03:05:54.548394: step 296, loss 0.0353657, acc 1
2019-05-18T03:05:54.555394: step 297, loss 0.0373827, acc 1
2019-05-18T03:05:54.562393: step 298, loss 0.0342289, acc 1
2019-05-18T03:05:54.569430: step 299, loss 0.0309665, acc 1
2019-05-18T03:05:54.576429: step 300, loss 0.036894, acc 1

Evaluation:
2019-05-18T03:05:54.579430: step 300, loss 0.02564, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-300

2019-05-18T03:05:54.664428: step 301, loss 0.0355302, acc 1
2019-05-18T03:05:54.678427: step 302, loss 0.0331265, acc 1
2019-05-18T03:05:54.691427: step 303, loss 0.0367769, acc 1
2019-05-18T03:05:54.698425: step 304, loss 0.0368877, acc 1
2019-05-18T03:05:54.706425: step 305, loss 0.0410406, acc 1
2019-05-18T03:05:54.713425: step 306, loss 0.036971, acc 1
2019-05-18T03:05:54.721425: step 307, loss 0.0288455, acc 1
2019-05-18T03:05:54.728425: step 308, loss 0.0356008, acc 1
2019-05-18T03:05:54.735425: step 309, loss 0.0296501, acc 1
2019-05-18T03:05:54.742424: step 310, loss 0.0328411, acc 1
2019-05-18T03:05:54.749424: step 311, loss 0.031129, acc 1
2019-05-18T03:05:54.756424: step 312, loss 0.0308024, acc 1
2019-05-18T03:05:54.764423: step 313, loss 0.0316322, acc 1
2019-05-18T03:05:54.771423: step 314, loss 0.0349229, acc 1
2019-05-18T03:05:54.779423: step 315, loss 0.0281037, acc 1
2019-05-18T03:05:54.786423: step 316, loss 0.0327234, acc 1
2019-05-18T03:05:54.794423: step 317, loss 0.0345288, acc 1
2019-05-18T03:05:54.801422: step 318, loss 0.035888, acc 1
2019-05-18T03:05:54.808423: step 319, loss 0.0357651, acc 1
2019-05-18T03:05:54.816422: step 320, loss 0.033671, acc 1
2019-05-18T03:05:54.823422: step 321, loss 0.0365449, acc 1
2019-05-18T03:05:54.829421: step 322, loss 0.0345177, acc 1
2019-05-18T03:05:54.836421: step 323, loss 0.0300291, acc 1
2019-05-18T03:05:54.844421: step 324, loss 0.0337203, acc 1
2019-05-18T03:05:54.850421: step 325, loss 0.0328681, acc 1
2019-05-18T03:05:54.859421: step 326, loss 0.0322301, acc 1
2019-05-18T03:05:54.868421: step 327, loss 0.0318952, acc 1
2019-05-18T03:05:54.876420: step 328, loss 0.0289804, acc 1
2019-05-18T03:05:54.883420: step 329, loss 0.0363542, acc 1
2019-05-18T03:05:54.891420: step 330, loss 0.0264857, acc 1
2019-05-18T03:05:54.900420: step 331, loss 0.0273197, acc 1
2019-05-18T03:05:54.907421: step 332, loss 0.0262307, acc 1
2019-05-18T03:05:54.915420: step 333, loss 0.0322034, acc 1
2019-05-18T03:05:54.924419: step 334, loss 0.0311334, acc 1
2019-05-18T03:05:54.932421: step 335, loss 0.0314065, acc 1
2019-05-18T03:05:54.941418: step 336, loss 0.0320088, acc 1
2019-05-18T03:05:54.950418: step 337, loss 0.0294749, acc 1
2019-05-18T03:05:54.958418: step 338, loss 0.0298633, acc 1
2019-05-18T03:05:54.965417: step 339, loss 0.0296571, acc 1
2019-05-18T03:05:54.972417: step 340, loss 0.0271233, acc 1
2019-05-18T03:05:54.979416: step 341, loss 0.0310126, acc 1
2019-05-18T03:05:54.986417: step 342, loss 0.0347426, acc 1
2019-05-18T03:05:54.994417: step 343, loss 0.0290522, acc 1
2019-05-18T03:05:55.001416: step 344, loss 0.0274452, acc 1
2019-05-18T03:05:55.008416: step 345, loss 0.0226176, acc 1
2019-05-18T03:05:55.015416: step 346, loss 0.030477, acc 1
2019-05-18T03:05:55.023416: step 347, loss 0.0317218, acc 1
2019-05-18T03:05:55.030415: step 348, loss 0.0275894, acc 1
2019-05-18T03:05:55.037415: step 349, loss 0.0301927, acc 1
2019-05-18T03:05:55.043415: step 350, loss 0.0244886, acc 1
2019-05-18T03:05:55.051415: step 351, loss 0.0267169, acc 1
2019-05-18T03:05:55.058415: step 352, loss 0.0289069, acc 1
2019-05-18T03:05:55.065415: step 353, loss 0.0325241, acc 1
2019-05-18T03:05:55.074414: step 354, loss 0.0276194, acc 1
2019-05-18T03:05:55.083414: step 355, loss 0.0214202, acc 1
2019-05-18T03:05:55.091415: step 356, loss 0.0263162, acc 1
2019-05-18T03:05:55.099413: step 357, loss 0.0299221, acc 1
2019-05-18T03:05:55.106413: step 358, loss 0.0273798, acc 1
2019-05-18T03:05:55.113412: step 359, loss 0.0301496, acc 1
2019-05-18T03:05:55.122412: step 360, loss 0.0228301, acc 1
2019-05-18T03:05:55.129412: step 361, loss 0.0251215, acc 1
2019-05-18T03:05:55.136413: step 362, loss 0.0278424, acc 1
2019-05-18T03:05:55.145411: step 363, loss 0.0283327, acc 1
2019-05-18T03:05:55.152411: step 364, loss 0.0256419, acc 1
2019-05-18T03:05:55.160411: step 365, loss 0.0218066, acc 1
2019-05-18T03:05:55.168411: step 366, loss 0.0260572, acc 1
2019-05-18T03:05:55.176411: step 367, loss 0.0276482, acc 1
2019-05-18T03:05:55.183411: step 368, loss 0.0282155, acc 1
2019-05-18T03:05:55.190410: step 369, loss 0.0265089, acc 1
2019-05-18T03:05:55.198410: step 370, loss 0.0288423, acc 1
2019-05-18T03:05:55.205410: step 371, loss 0.0250709, acc 1
2019-05-18T03:05:55.212410: step 372, loss 0.0242659, acc 1
2019-05-18T03:05:55.219409: step 373, loss 0.0338627, acc 1
2019-05-18T03:05:55.227409: step 374, loss 0.0197817, acc 1
2019-05-18T03:05:55.234409: step 375, loss 0.0219401, acc 1
2019-05-18T03:05:55.241408: step 376, loss 0.0283911, acc 1
2019-05-18T03:05:55.249409: step 377, loss 0.0268216, acc 1
2019-05-18T03:05:55.255409: step 378, loss 0.0280682, acc 1
2019-05-18T03:05:55.263408: step 379, loss 0.0213913, acc 1
2019-05-18T03:05:55.270407: step 380, loss 0.024966, acc 1
2019-05-18T03:05:55.279408: step 381, loss 0.0230936, acc 1
2019-05-18T03:05:55.287408: step 382, loss 0.0289331, acc 1
2019-05-18T03:05:55.294407: step 383, loss 0.0269571, acc 1
2019-05-18T03:05:55.304407: step 384, loss 0.0276353, acc 1
2019-05-18T03:05:55.314408: step 385, loss 0.0234281, acc 1
2019-05-18T03:05:55.321406: step 386, loss 0.0247216, acc 1
2019-05-18T03:05:55.330406: step 387, loss 0.0273496, acc 1
2019-05-18T03:05:55.338406: step 388, loss 0.0238841, acc 1
2019-05-18T03:05:55.345406: step 389, loss 0.0210104, acc 1
2019-05-18T03:05:55.353405: step 390, loss 0.0240865, acc 1
2019-05-18T03:05:55.361406: step 391, loss 0.0229028, acc 1
2019-05-18T03:05:55.368405: step 392, loss 0.0235885, acc 1
2019-05-18T03:05:55.376404: step 393, loss 0.0328731, acc 1
2019-05-18T03:05:55.383405: step 394, loss 0.0237226, acc 1
2019-05-18T03:05:55.390404: step 395, loss 0.0195374, acc 1
2019-05-18T03:05:55.397404: step 396, loss 0.0194885, acc 1
2019-05-18T03:05:55.404404: step 397, loss 0.0250829, acc 1
2019-05-18T03:05:55.412403: step 398, loss 0.0280423, acc 1
2019-05-18T03:05:55.420403: step 399, loss 0.0258097, acc 1
2019-05-18T03:05:55.427403: step 400, loss 0.0249167, acc 1

Evaluation:
2019-05-18T03:05:55.430403: step 400, loss 0.0257791, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-400

2019-05-18T03:05:55.508415: step 401, loss 0.023759, acc 1
2019-05-18T03:05:55.515400: step 402, loss 0.0231996, acc 1
2019-05-18T03:05:55.523400: step 403, loss 0.0191994, acc 1
2019-05-18T03:05:55.531414: step 404, loss 0.0193621, acc 1
